id,answer,property_value,bleurt_score
Q206890,mos,Q16877457,0.0274137482047081
Q3825089,september 1991,1991-09-06,0.6870448589324951
Q1692091,1990,1990-10-06,0.4122152328491211
Q4118726,may 2003,2003-05-26,0.5698662996292114
Q6535975,joseph field,joseph field,0.8958068490028381
Q7178645,,plaistow,0.13126803934574127
Q7337064,,united state,0.02185286581516266
Q8003079,united state,united state,0.9919833540916443
Q5128987,centerville,centerville,0.8987781405448914
Q20029978,music industry,music industry,0.8849632143974304
Q2174533,united state,united state,0.9919833540916443
Q235455,,storm management,0.011798158288002014
Q723202,,united state,0.02185286581516266
Q927631,dick van dyke,dick van dyke,0.9969918131828308
Q6200321,lo angele,lo angele,1.0596922636032104
Q6789011,poland,united state,0.04927915334701538
Q175305,rapper,rapper,0.6184548735618591
Q5252895,1935,1935-07-24,0.5218392610549927
Q29419683,,actor,0.02501051127910614
Q7160637,actor,actor,0.5767977237701416
Q6794746,haverfordwest,haverfordwest,1.042366862297058
Q441734,lo angele,lo angele,1.0596922636032104
Q2058704,stage actor,stage actor,0.8314184546470642
Q16193068,,amanda waring,-0.07762384414672852
Q5236863,actor,television actor,0.1935839205980301
Q180011,actres,film actor,0.08464165776968002
Q20687664,1988,1988-11-10,0.4574853777885437
Q3980946,vassar college,vassar college,0.9833517074584961
Q468443,"december 29, 2024",2024-12-29,0.7633484601974487
Q7369565,actor,television actor,0.1935839205980301
Q444187,point grey stəywəte:n̓ secondary school,point grey stəywəte:n̓ secondary school,0.9798683524131775
Q4913068,united kingdom,united kingdom,0.9348112344741821
Q21511711,gillespie,gillespie,1.0817835330963135
Q2480996,star on the hollywood walk of fame,star on hollywood walk of fame,0.8250312805175781
Q312073,actor,film actor,0.13960686326026917
Q784009,usc school of dramatic art,usc school of dramatic art,0.9183664321899414
Q1677106,san quentin state prison,san quentin state prison,1.030582308769226
Q555589,film producer,film producer,0.9118699431419373
Q15069982,united state,united state,0.9919833540916443
Q6990645,,suicide,0.10325920581817627
Q60992879,"september 26, 1989",1989-09-26,0.7997143864631653
Q20724968,,+1960-00-00T00:00:00Z,0.07735350728034973
Q2274969,finland,finland,0.9644195437431335
Q3275591,actres,actor,0.15664337575435638
Q7407184,may 1927,1927-05-16,0.6516450643539429
Q184378,united state navy,united state navy,1.0541733503341675
Q429024,entrepreneur,entrepreneur,0.713728129863739
Q7925358,screenwriter,screenwriter,0.8943785429000854
Q48102372,screenwriter,screenwriter,0.8943785429000854
Q238895,actres,actor,0.15664337575435638
Q6968794,westcliff high school for Boy,westcliff high school for Boy,0.9712051153182983
Q1051138,,+1971-00-00T00:00:00Z,0.06823723018169403
Q4717278,canada,canada,0.7601901292800903
Q498389,,burton & south derbyshire college,-0.032860830426216125
Q3775546,actor,actor,0.5767977237701416
Q379830,rapper,rapper,0.6184548735618591
Q2878611,,2003-10-27,0.038299523293972015
Q4885662,sunderland,sunderland,0.9251981973648071
Q7109593,lo angele,lo angele,1.0596922636032104
Q323503,1934,1934-10-30,0.4529247283935547
Q188401,lo angele,lo angele,1.0596922636032104
Q434844,actres,television actor,0.12972226738929749
Q16082232,actres,actor,0.15664337575435638
Q4966720,2021,2021-12-15,0.4685037136077881
Q2925600,islington,islington,0.9382156729698181
Q1087011,film director,film director,0.893515944480896
Q3229673,theatre critic,theatre critic,0.9657005667686462
Q23773998,,united state,0.02185286581516266
Q2388158,,columbia university school of general study,-0.06186471879482269
Q22986661,film actor,film actor,0.8629913330078125
Q16193648,television personality,television actor,0.2915886640548706
Q21155087,actor,actor,0.5767977237701416
Q1289810,philadelphia,philadelphia,0.9698807001113892
Q55590117,united state,united state,0.9919833540916443
Q6851300,southern rhodesia,southern rhodesia,0.9956281781196594
Q2767596,united state,united state,0.9919833540916443
Q3179026,encino,encino,0.9484575390815735
Q12059863,united state,united state,0.9919833540916443
Q6490614,september 1900,1900-09-15,0.6357312798500061
Q441008,1969,1969-01-24,0.37963685393333435
Q4768348,singer and actres,actor,0.2524366080760956
Q309888,musician,voice actor,0.04281565546989441
Q4772758,1910,1910-02-26,0.35956406593322754
Q359210,dervla kirwan,dervla kirwan,1.0304654836654663
Q525541,woodvine,woodvine,0.9714049100875854
Q5096957,united state,united state,0.9919833540916443
Q5525531,actor,television actor,0.1935839205980301
Q1400743,film actor,film actor,0.8629913330078125
Q2027352,november 2015,2016-07-06,0.22861707210540771
Q4730521,hollywood,hollywood,0.7898563742637634
Q21872808,writer and actor,actor,0.2996179163455963
Q6211034,film actor,film actor,0.8629913330078125
Q18211721,,1923-10-27,0.05232663452625275
Q527771,actor,television actor,0.1935839205980301
Q5403136,,united state,0.02185286581516266
Q3199795,actres,film actor,0.08464165776968002
Q3559782,actor,actor,0.5767977237701416
Q517217,1975,1975-01-09,0.38568001985549927
Q16148256,a notable institution in woodford green,"trinity catholic high School, woodford green",0.37289154529571533
Q2833126,gray,gray,0.6512579321861267
Q7490096,shane horgan,shane horgan,0.9627073407173157
Q104183,a star on the hollywood walk of fame,star on hollywood walk of fame,0.6741540431976318
Q116281,michael shank,michael shank,0.8914706110954285
Q4160069,ogden,ogden,0.9628851413726807
Q11835975,actor,actor,0.5767977237701416
Q927052,1967,1967-04-27,0.3353967070579529
Q7490519,actres,film actor,0.08464165776968002
Q2923471,bradford steven tatum,bradford steven tatum,1.0122194290161133
Q4912632,actor,television actor,0.1935839205980301
Q4797475,actor,actor,0.5767977237701416
Q4772496,,united state,0.02185286581516266
Q19364911,1964,1964-06-11,0.3453107476234436
Q6832757,january 1946,1946-01-26,0.6797730326652527
Q229069,1993,1993-02-12,0.3953131437301636
Q454698,byrne,byrne,1.000880241394043
Q5092766,singer and actor,actor,0.3201705813407898
Q6247810,actor,television actor,0.1935839205980301
Q27927826,dubose,dubose,0.956027090549469
Q4954795,erotic photographer,erotic photography model,0.47924959659576416
Q5237549,actor,actor,0.5767977237701416
Q20819281,actor,actor,0.5767977237701416
Q3128043,2002,2002-01-17,0.4554198384284973
Q3941424,1902,1897-03-06,0.3267318904399872
Q7184154,june 1987,1987-06-05,0.6616809964179993
Q320084,canada,canada,0.7601901292800903
Q2129792,united state,united state,0.9919833540916443
Q4730747,television producer,television producer,0.9139021039009094
Q955818,actor,television actor,0.1935839205980301
Q6163370,actor,actor,0.5767977237701416
Q40572,actor,film director,0.04872342199087143
Q262502,"film actor, comedian, television personality",film actor,0.48350876569747925
Q267097,"actor, director, singer",director,0.3658798038959503
Q7660944,london,london,0.7344843745231628
Q7929525,rugby high school,rugby high school,0.9321816563606262
Q16215652,1975,1975-09-01,0.39451462030410767
Q24335412,film actor,film actor,0.8629913330078125
Q3299723,actor,actor,0.5767977237701416
Q1346255,,guitar,0.028692491352558136
Q312124,,broadcast film critic association award for best cast,0.004323497414588928
Q14216813,new trier high school,new trier high school,0.9748658537864685
Q3560666,san jose,san jose,0.9933339953422546
Q21935444,"april 13, 1995",1995-04-13,0.7870897054672241
Q41732144,comedian,actor,0.10645753145217896
Q1862717,united kingdom,united kingdom,0.9348112344741821
Q991798,screenwriter,writer,0.15190979838371277
Q1340443,worthing,worthing,0.982707142829895
Q2865150,hohl,hohl,1.0084730386734009
Q3808023,woodrow wilson high school,woodrow wilson high school,0.939629316329956
Q1993804,forest lawn memorial park,forest lawn memorial park,0.9327782988548279
Q15996169,1943,1943-08-15,0.38570547103881836
Q5531228,entertainer,television actor,0.11832275241613388
Q15434613,,yale university,0.01676572859287262
Q23893838,,united state,0.02185286581516266
Q3704277,loop − 60Hz: transmission from the drone orchestra,loop − 60Hz: transmission from the drone orchestra,0.9740769863128662
Q3568682,edward harrigan,edward harrigan,0.9816889762878418
Q450076,middletown,middletown,0.9325565695762634
Q7383134,united state,united state,0.9919833540916443
Q5567891,television performer,television actor,0.46237659454345703
Q335608,acting,acting,0.5752753615379333
Q12182724,ghoneim,ghunaym,0.5224255323410034
Q233937,SAG-AFTRA,SAG-AFTRA,1.0079145431518555
Q5080832,september 1922,1922-09-01,0.7393257021903992
Q15528164,stage actor,stage actor,0.8314184546470642
Q130447,,the vampire diary,-0.01663222908973694
Q6812831,united state,united state,0.9919833540916443
Q311271,outstanding performance in a comedy series,primetime emmy award for outstanding lead actor in a comedy series,0.47258931398391724
Q73362,,united state,0.02185286581516266
Q773066,natural cause,natural cause,0.9231284260749817
Q600209,screenwriter,screenwriter,0.8943785429000854
Q281544,huntley,huntley,0.9656239151954651
Q267359,british academy game award,british academy game award for performer,0.5565791726112366
Q28777193,geraldine judith schoenmann,geraldine judith schoenmann,0.9795573353767395
Q731448,raisa,raisa,1.0350078344345093
Q6766230,actor,actor,0.5767977237701416
Q470103,bryant,bryant,0.9376563429832458
Q16065110,bodil award for best actor in a leading role,bodil award for best actor in a leading role,0.938900351524353
Q5982562,actor,actor,0.5767977237701416
Q7680833,san juan,san juan,0.9718614220619202
Q2697342,entertainment,acting,0.07784916460514069
Q2646553,hinduism,hinduism,0.9235010743141174
Q6874734,dominican republic,united state,0.10108046978712082
Q21282236,actor,actor,0.5767977237701416
Q60194603,new york film academy,new york film academy,0.9303281307220459
Q21552750,1993,1993-01-01,0.4796692132949829
Q2024468,royal west academy,royal west academy,0.9351099133491516
Q55956269,actor,television actor,0.1935839205980301
Q6780074,actor,actor,0.5767977237701416
Q4792489,record producer,record producer,0.9409961104393005
Q464754,actres,actor,0.15664337575435638
Q5491052,musician,songwriter,0.1437447965145111
Q2927167,1981,1981-06-10,0.4398990869522095
Q318158,actor,television actor,0.1935839205980301
Q2799414,germany,germany,0.7367776036262512
Q523816,chadwick school,chadwick school,0.9562626481056213
Q28659023,momoa,momoa,0.8373709917068481
Q21082345,actor,child actor,0.1298237293958664
Q943762,inglewood park cemetery,inglewood park cemetery,0.9931445717811584
Q5386557,columbia university,columbia university,0.9576970934867859
Q3178476,television actor,television actor,0.8891075253486633
Q672242,fraser,fraser,0.8946591019630432
Q1563129,beer,beer,0.7725549936294556
Q29033917,actres,actor,0.15664337575435638
Q1365430,,actor,0.02501051127910614
Q567872,,voice,0.03794799745082855
Q5585258,united state,united state,0.9919833540916443
Q685709,actor,television actor,0.1935839205980301
Q1288519,xrco award,xrco award,1.023384690284729
Q5512016,film actor,film actor,0.8629913330078125
Q8068709,"february 19, 1935",1935-02-19,0.7671545743942261
Q20666484,pop musician,twitch streamer,0.14099974930286407
Q211144,drama desk award,drama desk award for outstanding actres in a play,0.3587002158164978
Q1740088,comedian,comedian,0.8146336078643799
Q5314574,,susan penhaligon,0.009378910064697266
Q15633756,newcastle university,newcastle university,0.9348278641700745
Q14565913,england,united kingdom,0.1740710288286209
Q613029,taekwondo,taekwondo,0.9587004780769348
Q17523925,cleveland,cleveland,0.9647616744041443
Q6812791,,united state,0.02185286581516266
Q208374,actor,actor,0.5767977237701416
Q18627269,actor,voice actor,0.09630686044692993
Q4102526,performing artist,actor,0.29602915048599243
Q12411921,tel aviv,israel,0.3075508177280426
Q13560309,actres,television actor,0.12972226738929749
Q7422514,actor,actor,0.5767977237701416
Q3706964,united state,united state,0.9919833540916443
Q16301303,stage actor,stage actor,0.8314184546470642
Q215976,david arquette,david arquette,0.8864952325820923
Q1159067,actor,actor,0.5767977237701416
Q28857180,actor,actor,0.5767977237701416
Q3568884,actor,actor,0.5767977237701416
Q228792,,voice,0.03794799745082855
Q1189412,barbara cason,barbara cason,0.9921280145645142
Q455160,kelly,kelly,0.9493114352226257
Q721256,pretoria,pretoria,0.9533910155296326
Q47899,,voice,0.03794799745082855
Q17362623,1888,1889-01-01,0.41395729780197144
Q8001872,united kingdom of great britain and ireland,united kingdom of great britain and ireland,0.997732937335968
Q252933,,british hong kong,-0.04759575426578522
Q520060,1807,1807-07-24,0.4897373914718628
Q6202229,university college london,university college london,0.9498364329338074
Q16145476,sha na na,sha na na,1.0013186931610107
Q3150693,stage actor,stage actor,0.8314184546470642
Q6829397,chicago state university,chicago state university,0.9914247393608093
Q4468428,,united state,0.02185286581516266
Q7155033,kingston,kingston,0.8960562944412231
Q26198121,,united kingdom,0.012348279356956482
Q2530628,1970,1970-02-10,0.30811405181884766
Q1560090,united state,united state,0.9919833540916443
Q4858807,united state,united state,0.9919833540916443
Q22639427,"september 23, 2018",2018-09-23,0.8344771265983582
Q5525310,august 1994,1994-08-22,0.7095676064491272
Q8037755,film producer,film producer,0.9118699431419373
Q2377047,1886,1886-01-20,0.5669084787368774
Q2242673,lo angele county,lo angele county,1.018717885017395
Q16730710,brain cancer,brain cancer,0.8396123051643372
Q4555364,,united kingdom,0.012348279356956482
Q4495402,radio personality,radio personality,0.9485573172569275
Q20974040,entertainer,actor,0.0978124588727951
Q52106938,late november 1974,1974-11-26,0.553445041179657
Q60578134,entertainer,actor,0.0978124588727951
Q527558,united state marine corps,united state marine corps,0.9848183989524841
Q1281772,1904-08-01,1904-08-04,0.5054939389228821
Q7540611,toronto,toronto,0.9552290439605713
Q4754991,,television actor,-0.01819254457950592
Q24091145,united state,united state,0.9919833540916443
Q218698,oxfordshire,oxfordshire,0.9581567645072937
Q946980,judaism,judaism,0.8800267577171326
Q6288832,television actor,television actor,0.8891075253486633
Q13501808,february 2009,2009-02-01,0.7909424304962158
Q3182555,,1919-10-31,0.06552161276340485
Q13717403,canada,canada,0.7601901292800903
Q2373778,tafler,tafler,0.9554319977760315
Q6758083,1993,1993-02-24,0.43517810106277466
Q29349693,"november 16, 1994",1994-11-16,0.7943877577781677
Q928376,"california state University, northridge","california state University, northridge",0.9871287941932678
Q6308200,early 1950s,1953-01-01,0.08749252557754517
Q5694792,traffic collision,accidental death,0.14822615683078766
Q2578528,theater and drama,writer,0.03165733814239502
Q3625640,actor,television actor,0.1935839205980301
Q5367393,childswickham,childswickham,0.980335533618927
Q455956,,united state,0.02185286581516266
Q1351772,west,west,0.6227368712425232
Q6490048,ottawa rough rider,ottawa rough rider,1.0090571641921997
Q5259210,ucla bruin men's basketball team,ucla bruin men's basketball,0.7795549631118774
Q24084467,actor,actor,0.5767977237701416
Q22808253,united state,united state,0.9919833540916443
Q3638982,woodlawn memorial cemetery,woodlawn memorial cemetery,0.9755545258522034
Q6777444,tarzana,tarzana,1.0185565948486328
Q449402,acting,film acting,0.14616304636001587
Q18684339,tehran,tehran,0.996030867099762
Q2603666,judo,judo,0.6537241339683533
Q7509062,,new jersey,0.3337976336479187
Q1189439,lando,lando,0.41536015272140503
Q4717962,weed,weed,0.9391265511512756
Q275835,film actor,film actor,0.8629913330078125
Q730723,drum kit,drum kit,0.8909294009208679
Q7441095,united state,united state,0.9919833540916443
Q1376957,film actor,film actor,0.8629913330078125
Q242432,singer-songwriter,singer-songwriter,0.9226478934288025
Q4809088,karateka,karateka,0.9966568350791931
Q26702650,entertainer,actor,0.0978124588727951
Q888671,1914,1914-05-30,0.30795037746429443
Q5542271,bakersfield,bakersfield,0.9549880027770996
Q20974044,"november 20, 1998",1998-11-20,0.773937463760376
Q3051439,playboy playmate,playboy playmate,0.9745398163795471
Q44445,united state,united state,0.9919833540916443
Q6773095,musician,record producer,0.06058100610971451
Q237186,,voice,0.03794799745082855
