id,answer,property_value,bleurt_score
Q13560660,"saint Paul, united state",saint paul,0.5878087282180786
Q1626644,film actor,actor,0.24699276685714722
Q9005152,entertainment industry,film,0.11222314089536667
Q615309,actor,actor,0.5767977237701416
Q3852265,chicago,chicago,0.8835649490356445
Q6988294,actor,television actor,0.1935839205980301
Q5491081,"april 9, 1921",1921-04-09,0.7482859492301941
Q14087085,michael polish,michael polish,0.9472858309745789
Q5112416,"december 19, 1980",1980-12-19,0.8272438645362854
Q6876562,frankfort,frankfort,0.9832614064216614
Q6500158,"may 23, 1945",1945-05-23,0.7666963934898376
Q19599080,film actor,film actor,0.8629913330078125
Q7352576,united state,united state,0.9919833540916443
Q16105800,denville hall,denville hall,0.9861209988594055
Q4356824,"october 14, 2007",2007-10-14,0.7928873896598816
Q3018667,bretton hall college,bretton hall college,0.9291843771934509
Q1255329,directing,directing,0.9187747836112976
Q21872530,ballet dancer,ballet dancer,0.8985942006111145
Q93341,east St. loui lincoln high school,east St. loui lincoln high school,0.9680777192115784
Q704998,kane,kane,0.7499387264251709
Q5350001,new york city,new york city,0.9141663908958435
Q3290525,united state,united state,0.9919833540916443
Q230190,morton,morton,0.9805043339729309
Q47517222,actor,actor,0.5767977237701416
Q1618933,"november 18, 1982",1982-11-18,0.7973487973213196
Q4131386,his voice,voice,0.24611763656139374
Q3434149,bartlett,bartlett,1.0174014568328857
Q2220030,film actor and stunt performer,film actor,0.4082567095756531
Q6451457,stanger,stanger,0.9639653563499451
Q11958868,sean roche,sean roche,0.9433395266532898
Q15069945,united kingdom,united kingdom,0.9348112344741821
Q28357853,allan,allan,0.9062934517860413
Q11751987,"actor, singer, youtuber",actor,0.36813950538635254
Q6775737,united state,united state,0.9919833540916443
Q24006620,professional wrestler,professional wrestler,0.9463418126106262
Q5416344,suicide,suicide,0.638853132724762
Q6558126,television actor,actor,0.2646454870700836
Q233786,germantown high school,germantown high school,0.9233109951019287
Q7425708,wickham,wickham,0.9796953797340393
Q7383007,united state,united state,0.9919833540916443
Q3441473,television actor,television actor,0.8891075253486633
Q7105846,"may 2, 1963",1963-05-02,0.7467364072799683
Q48737404,television actor,actor,0.2646454870700836
Q498263,"july 1, 1956",1956-07-01,0.8048302531242371
Q887889,military officer,military officer,0.8812390565872192
Q312531,drum,drum,0.7364164590835571
Q2452130,St. john,St. john,0.8854617476463318
Q28052663,"july 15, 1972",1972-07-15,0.7880797982215881
Q191719,"actor, musician, model",fashion model,0.24884945154190063
Q16749700,"april 9, 1931",1931-04-09,0.7394195199012756
Q27643202,smythe,smythe,0.9504733085632324
Q9024968,"august 1, 1970",1970-08-01,0.8428419232368469
Q5361618,"actor, painter, writer",actor,0.3574960231781006
Q4236621,united state,united state,0.9919833540916443
Q23900814,san bernardino,san bernardino,0.9933484196662903
Q16262837,forest lawn memorial park,forest lawn memorial park,0.9327782988548279
Q6376405,film actor,film actor,0.8629913330078125
Q1146107,actor,actor,0.5767977237701416
Q18715957,actor,actor,0.5767977237701416
Q5234057,television actor,television actor,0.8891075253486633
Q7610649,lyle talbot,lyle talbot,1.0650972127914429
Q1998128,lo angele,lo angele,1.0596922636032104
Q608709,actor,stage actor,0.09086503833532333
Q4758409,television actor,television actor,0.8891075253486633
Q5113284,manchester,manchester,0.9320140480995178
Q5929201,bradford,bradford,0.9065579771995544
Q17385556,"artist, dancer, voice actor, choreographer",dancer,0.36162716150283813
Q279169,debbie andrew,debbie andrew,1.0324463844299316
Q7356486,film actor,film actor,0.8629913330078125
Q7148276,united state,united state,0.9919833540916443
Q2681092,seth peterson,seth peterson,0.9726467728614807
Q7023504,university of birmingham,university of birmingham,0.9114685654640198
Q5133222,hall,hall,0.5714793801307678
Q16195219,"film producer, director, actor, screenwriter",film producer,0.4759954810142517
Q2611866,actor and screenwriter,stunt performer,0.15633447468280792
Q28731331,montana,montana,0.934218168258667
Q434588,spain,spain,0.8742422461509705
Q15102566,visual artist,visual artist,0.8894725441932678
Q6208095,"fort Worth, texa",fort worth,0.4301917552947998
Q1700224,gilmore,gilmore,1.0019445419311523
Q1728855,actres,actor,0.15664337575435638
Q2254492,+1970-00-00T00:00:00Z,+1970-00-00T00:00:00Z,0.9108875393867493
Q228868,"october 31, 1976",1976-10-31,0.7521408796310425
Q7922239,united kingdom,united kingdom,0.9348112344741821
Q7422915,actres,actor,0.15664337575435638
Q1316535,"Melbourne, australia",melbourne,0.7154095768928528
Q7860073,"december 23, 2007",2007-12-23,0.8379418253898621
Q728630,singer,singer,0.7661882042884827
Q26924494,actres and voice actor,comedian,0.05698481947183609
Q11878748,jiří smetana,jiří smetana,0.9794242978096008
Q40067,marjoe gortner,marjoe gortner,1.0031284093856812
Q2395252,actres,actor,0.15664337575435638
Q1808724,"december 11, 1974",1974-12-11,0.7782850861549377
Q2785990,"october 5, 1997",1997-10-05,0.7360517978668213
Q345038,eastbourne college,eastbourne college,0.8994142413139343
Q229749,spin city,spin city,0.9408324360847473
Q6160746,"actor, model, writer, television presenter, yoga instructor",yoga instructor,0.5394316911697388
Q15993553,stage actor,actor,0.1815577745437622
Q7035226,actres,film actor,0.08464165776968002
Q15044042,"january 24, 1953",1953-01-24,0.711525559425354
Q2259074,"september 2, 1977",1977-09-02,0.7936720252037048
Q703929,actor,television actor,0.1935839205980301
Q579571,actor,actor,0.5767977237701416
Q1314250,screenwriter,screenwriter,0.8943785429000854
Q15731713,television actor,television actor,0.8891075253486633
Q30527994,"january 5, 1967",1967-01-05,0.7364311218261719
Q234798,actres,actor,0.15664337575435638
Q6391745,a,a,0.4296044707298279
Q7381823,"october 14, 1906",1906-10-14,0.7389574646949768
Q5296575,united state,united state,0.9919833540916443
Q2094087,united state,united state,0.9919833540916443
Q2395069,united state,united state,0.9919833540916443
Q16166207,"march 20, 1987",1987-03-20,0.8271228671073914
Q76478,united state,united state,0.9919833540916443
Q272214,voice,voice,0.4867112636566162
Q2654574,"television actor, film actor, and stage actor",actor,0.3868032693862915
Q2079584,chuck norri,chuck norri,1.0499703884124756
Q206890,mos,Q16877457,0.0274137482047081
Q3825089,"september 6, 1991",1991-09-06,0.8365467190742493
Q1692091,"october 6, 1990",1990-10-06,0.7274081110954285
Q4118726,"may 26, 2003",2003-05-26,0.7672382593154907
Q6535975,joseph field,joseph field,0.8958068490028381
Q7178645,plaistow,plaistow,0.9472440481185913
Q7337064,united state,united state,0.9919833540916443
Q8003079,united state,united state,0.9919833540916443
Q5128987,centerville,centerville,0.8987781405448914
Q20029978,music,music industry,0.24787038564682007
Q2174533,united state,united state,0.9919833540916443
Q235455,storm management,storm management,0.8902540802955627
Q723202,united state,united state,0.9919833540916443
Q927631,dick van dyke,dick van dyke,0.9969918131828308
Q6200321,lo angele,lo angele,1.0596922636032104
Q6789011,united state,united state,0.9919833540916443
Q175305,"rapper, television and film actor, comedian, model",rapper,0.4289732575416565
Q5252895,"july 24, 1935",1935-07-24,0.7988042831420898
Q29419683,actres,actor,0.15664337575435638
Q7160637,film actor,actor,0.24699276685714722
Q6794746,haverfordwest,haverfordwest,1.042366862297058
Q441734,"lo Angeles, california",lo angele,0.47593969106674194
Q2058704,actor,stage actor,0.09086503833532333
Q16193068,amanda waring,amanda waring,0.9935402274131775
Q5236863,television actor,television actor,0.8891075253486633
Q180011,actres,film actor,0.08464165776968002
Q20687664,"november 10, 1988",1988-11-10,0.8123596906661987
Q3980946,vassar college,vassar college,0.9833517074584961
Q468443,"december 29, 2024",2024-12-29,0.7633484601974487
Q7369565,actor,television actor,0.1935839205980301
Q444187,point grey stəywəte:n̓ secondary school,point grey stəywəte:n̓ secondary school,0.9798683524131775
Q4913068,united kingdom,united kingdom,0.9348112344741821
Q21511711,gillespie,gillespie,1.0817835330963135
Q2480996,star on the hollywood walk of fame,star on hollywood walk of fame,0.8250312805175781
Q312073,film actor,film actor,0.8629913330078125
Q784009,usc school of dramatic art,usc school of dramatic art,0.9183664321899414
Q1677106,san quentin state prison,san quentin state prison,1.030582308769226
Q555589,"film producer, screenwriter, actor, television producer",film producer,0.46644240617752075
Q15069982,united state,united state,0.9919833540916443
Q6990645,suicide,suicide,0.638853132724762
Q60992879,"september 26, 1989",1989-09-26,0.7997143864631653
Q20724968,1960,+1960-00-00T00:00:00Z,0.15064112842082977
Q2274969,finland,finland,0.9644195437431335
Q3275591,actor,actor,0.5767977237701416
Q7407184,"may 16, 1927",1927-05-16,0.7651534676551819
Q184378,united state navy,united state navy,1.0541733503341675
Q429024,"actor, model, film producer, entrepreneur",entrepreneur,0.413354754447937
Q7925358,screenwriter,screenwriter,0.8943785429000854
Q48102372,actres and film director,screenwriter,0.1976262778043747
Q238895,actres,actor,0.15664337575435638
Q6968794,westcliff high school for Boy,westcliff high school for Boy,0.9712051153182983
Q1051138,1971,+1971-00-00T00:00:00Z,0.18494728207588196
Q4717278,canada,canada,0.7601901292800903
Q498389,burton & south derbyshire college,burton & south derbyshire college,0.9613889455795288
Q3775546,performance artist and puppeteer,actor,0.22077398002147675
Q379830,"rapper, actor, singer, record producer",rapper,0.375130832195282
Q2878611,"october 27, 2003",2003-10-27,0.7354342341423035
Q4885662,sunderland,sunderland,0.9251981973648071
Q7109593,lo angele,lo angele,1.0596922636032104
Q323503,"october 30, 1934",1934-10-30,0.7170495390892029
Q188401,lo angele,lo angele,1.0596922636032104
Q434844,actres,television actor,0.12972226738929749
Q16082232,actor,actor,0.5767977237701416
Q4966720,"december 15, 2021",2021-12-15,0.6989760994911194
Q2925600,islington,islington,0.9382156729698181
Q1087011,actor and writer,film director,0.24070313572883606
Q3229673,theatre critic,theatre critic,0.9657005667686462
Q23773998,united state,united state,0.9919833540916443
Q2388158,columbia university school of general study,columbia university school of general study,0.9724255204200745
Q22986661,film actor,film actor,0.8629913330078125
Q16193648,television actor,television actor,0.8891075253486633
Q21155087,stage actor,actor,0.1815577745437622
Q1289810,philadelphia,philadelphia,0.9698807001113892
Q55590117,united state,united state,0.9919833540916443
Q6851300,southern rhodesia,southern rhodesia,0.9956281781196594
Q2767596,united state,united state,0.9919833540916443
Q3179026,encino,encino,0.9484575390815735
Q12059863,united state,united state,0.9919833540916443
Q6490614,"september 15, 1900",1900-09-15,0.8484156727790833
Q441008,"january 24, 1969",1969-01-24,0.7786781787872314
Q4768348,actor,actor,0.5767977237701416
Q309888,"rapper, songwriter, record producer, voice actor",voice actor,0.42780816555023193
Q4772758,"february 26, 1910",1910-02-26,0.7722417116165161
Q359210,dervla kirwan,dervla kirwan,1.0304654836654663
Q525541,woodvine,woodvine,0.9714049100875854
Q5096957,united state,united state,0.9919833540916443
Q5525531,actor,television actor,0.1935839205980301
Q1400743,film actor,film actor,0.8629913330078125
Q2027352,"july 6, 2016",2016-07-06,0.8726454377174377
Q4730521,hollywood,hollywood,0.7898563742637634
Q21872808,"actress, writer, producer",actor,0.33010339736938477
Q6211034,filmmaker and actor,film actor,0.4423540234565735
Q18211721,"october 27, 1923",1923-10-27,0.7358662486076355
Q527771,actor and screenwriter,television actor,0.22634148597717285
Q5403136,united state,united state,0.9919833540916443
Q3199795,actres,film actor,0.08464165776968002
Q3559782,"actor, choreographer, film director, theatrical director",actor,0.39078861474990845
Q517217,"january 9, 1975",1975-01-09,0.7517572045326233
Q16148256,"trinity catholic high School, woodford green","trinity catholic high School, woodford green",1.003502607345581
Q2833126,gray,gray,0.6512579321861267
Q7490096,shane horgan,shane horgan,0.9627073407173157
Q104183,a star on the hollywood walk of fame,star on hollywood walk of fame,0.6741540431976318
Q116281,michael shank,michael shank,0.8914706110954285
Q4160069,ogden,ogden,0.9628851413726807
Q11835975,television and film actor,actor,0.3366992473602295
Q927052,"april 27, 1967",1967-04-27,0.7866968512535095
Q7490519,film actor,film actor,0.8629913330078125
Q2923471,bradford steven tatum,bradford steven tatum,1.0122194290161133
Q4912632,television actor,television actor,0.8891075253486633
Q4797475,actres,actor,0.15664337575435638
Q4772496,united state,united state,0.9919833540916443
Q19364911,"june 11, 1964",1964-06-11,0.7042420506477356
Q6832757,"january 26, 1946",1946-01-26,0.7422887682914734
Q229069,"february 12, 1993",1993-02-12,0.7598652839660645
Q454698,byrne,byrne,1.000880241394043
Q5092766,actor,actor,0.5767977237701416
Q6247810,television actor,television actor,0.8891075253486633
Q27927826,dubose,dubose,0.956027090549469
Q4954795,erotic photography model,erotic photography model,0.9574485421180725
Q5237549,television actor,actor,0.2646454870700836
Q20819281,film actor,actor,0.24699276685714722
Q3128043,"january 17, 2002",2002-01-17,0.7667924165725708
Q3941424,"march 6, 1897",1897-03-06,0.7832589745521545
Q7184154,"june 5, 1987",1987-06-05,0.7299943566322327
Q320084,canada,canada,0.7601901292800903
Q2129792,united state,united state,0.9919833540916443
Q4730747,television producer,television producer,0.9139021039009094
Q955818,actor,television actor,0.1935839205980301
Q6163370,actor,actor,0.5767977237701416
Q40572,actor,film director,0.04872342199087143
Q262502,film actor,film actor,0.8629913330078125
Q267097,"director, singer, screenwriter, actor",director,0.421558678150177
Q7660944,london,london,0.7344843745231628
Q7929525,rugby high school,rugby high school,0.9321816563606262
Q16215652,"september 1, 1975",1975-09-01,0.8350022435188293
Q24335412,"film actor, screenwriter, director",film actor,0.49179279804229736
Q3299723,voice actor,actor,0.1728450059890747
Q1346255,guitar,guitar,0.6784240007400513
Q312124,broadcast film critic association award for best cast,broadcast film critic association award for best cast,0.9630888104438782
Q14216813,new trier high school,new trier high school,0.9748658537864685
Q3560666,san jose,san jose,0.9933339953422546
Q21935444,"april 13, 1995",1995-04-13,0.7870897054672241
Q41732144,voice actor and comedian,actor,0.13756215572357178
Q1862717,united kingdom,united kingdom,0.9348112344741821
Q991798,"actor, director, producer, writer",writer,0.41577255725860596
Q1340443,worthing,worthing,0.982707142829895
Q2865150,hohl,hohl,1.0084730386734009
Q3808023,woodrow wilson high school,woodrow wilson high school,0.939629316329956
Q1993804,forest lawn memorial park,forest lawn memorial park,0.9327782988548279
Q15996169,"august 15, 1943",1943-08-15,0.7754063606262207
Q5531228,television actor,television actor,0.8891075253486633
Q15434613,yale university,yale university,0.9760934114456177
Q23893838,united state,united state,0.9919833540916443
Q3704277,loop − 60Hz: transmission from the drone orchestra,loop − 60Hz: transmission from the drone orchestra,0.9740769863128662
Q3568682,edward harrigan,edward harrigan,0.9816889762878418
Q450076,middletown,middletown,0.9325565695762634
Q7383134,united state,united state,0.9919833540916443
Q5567891,television actor,television actor,0.8891075253486633
Q335608,acting,acting,0.5752753615379333
Q12182724,ghunaym,ghunaym,1.0345056056976318
Q233937,SAG-AFTRA,SAG-AFTRA,1.0079145431518555
Q5080832,"september 1, 1922",1922-09-01,0.7703559994697571
Q15528164,stage actor,stage actor,0.8314184546470642
Q130447,the vampire diary,the vampire diary,0.9493250250816345
Q6812831,united state,united state,0.9919833540916443
Q311271,primetime emmy award for outstanding lead actor in a comedy series,primetime emmy award for outstanding lead actor in a comedy series,0.9768794775009155
Q73362,united state,united state,0.9919833540916443
Q773066,"natural causes, specifically a myocardial infarction",natural cause,0.3236088752746582
Q600209,screenwriter,screenwriter,0.8943785429000854
Q281544,huntley,huntley,0.9656239151954651
Q267359,british academy game award for performer,british academy game award for performer,0.964572548866272
Q28777193,,geraldine judith schoenmann,-0.00437358021736145
Q731448,raisa,raisa,1.0350078344345093
Q6766230,film actor,actor,0.24699276685714722
Q470103,bryant,bryant,0.9376563429832458
Q16065110,bodil award for best actor in a leading role,bodil award for best actor in a leading role,0.938900351524353
Q5982562,television actor,actor,0.2646454870700836
Q7680833,san juan,san juan,0.9718614220619202
Q2697342,acting,acting,0.5752753615379333
Q2646553,hinduism,hinduism,0.9235010743141174
Q6874734,united state,united state,0.9919833540916443
Q21282236,actor,actor,0.5767977237701416
Q60194603,new york film academy,new york film academy,0.9303281307220459
Q21552750,"january 1, 1993",1993-01-01,0.7172737121582031
Q2024468,royal west academy,royal west academy,0.9351099133491516
Q55956269,television actor,television actor,0.8891075253486633
Q6780074,actor,actor,0.5767977237701416
Q4792489,singer-songwriter and actor,record producer,0.07875647395849228
Q464754,film actor,actor,0.24699276685714722
Q5491052,"songwriter, singer, actor",songwriter,0.5335031747817993
Q2927167,"june 10, 1981",1981-06-10,0.7197534441947937
Q318158,actor,television actor,0.1935839205980301
Q2799414,germany,germany,0.7367776036262512
Q523816,chadwick school,chadwick school,0.9562626481056213
Q28659023,momoa,momoa,0.8373709917068481
Q21082345,actor,child actor,0.1298237293958664
Q943762,inglewood park cemetery,inglewood park cemetery,0.9931445717811584
Q5386557,columbia university,columbia university,0.9576970934867859
Q3178476,actres and writer,television actor,0.21431618928909302
Q672242,fraser,fraser,0.8946591019630432
Q1563129,beer,beer,0.7725549936294556
Q29033917,actres,actor,0.15664337575435638
Q1365430,actor,actor,0.5767977237701416
Q567872,voice,voice,0.4867112636566162
Q5585258,united state,united state,0.9919833540916443
Q685709,television actor,television actor,0.8891075253486633
Q1288519,xrco award,xrco award,1.023384690284729
Q5512016,film actor,film actor,0.8629913330078125
Q8068709,"february 19, 1935",1935-02-19,0.7671545743942261
Q20666484,"artist, singer, twitch streamer",twitch streamer,0.48921871185302734
Q211144,drama desk award for outstanding actres in a play,drama desk award for outstanding actres in a play,0.9749723076820374
Q1740088,"comedian, actor, screenwriter, musician",comedian,0.4629219174385071
Q5314574,susan penhaligon,susan penhaligon,0.9909218549728394
Q15633756,newcastle university,newcastle university,0.9348278641700745
Q14565913,united kingdom,united kingdom,0.9348112344741821
Q613029,taekwondo,taekwondo,0.9587004780769348
Q17523925,cleveland,cleveland,0.9647616744041443
Q6812791,united state,united state,0.9919833540916443
Q208374,actor,actor,0.5767977237701416
Q18627269,voice actor,voice actor,0.8491813540458679
Q4102526,kvn actor,actor,0.33033227920532227
Q12411921,israel,israel,0.8421692252159119
Q13560309,actres,television actor,0.12972226738929749
Q7422514,actor,actor,0.5767977237701416
Q3706964,united state,united state,0.9919833540916443
Q16301303,actor and singer-songwriter,stage actor,0.2326500117778778
Q215976,david arquette,david arquette,0.8864952325820923
Q1159067,actor,actor,0.5767977237701416
Q28857180,actor,actor,0.5767977237701416
Q3568884,television actor,actor,0.2646454870700836
Q228792,voice,voice,0.4867112636566162
Q1189412,barbara cason,barbara cason,0.9921280145645142
Q455160,kelly,kelly,0.9493114352226257
Q721256,pretoria,pretoria,0.9533910155296326
Q47899,voice,voice,0.4867112636566162
Q17362623,"january 1, 1889",1889-01-01,0.7273963689804077
Q8001872,united kingdom of great britain and ireland,united kingdom of great britain and ireland,0.997732937335968
Q252933,,british hong kong,-0.04759575426578522
Q520060,"july 24, 1807",1807-07-24,0.8534786105155945
Q6202229,university college london,university college london,0.9498364329338074
Q16145476,sha na na,sha na na,1.0013186931610107
Q3150693,stage actor,stage actor,0.8314184546470642
Q6829397,chicago state university,chicago state university,0.9914247393608093
Q4468428,united state,united state,0.9919833540916443
Q7155033,kingston,kingston,0.8960562944412231
Q26198121,united kingdom,united kingdom,0.9348112344741821
Q2530628,"february 10, 1970",1970-02-10,0.7716811299324036
Q1560090,united state,united state,0.9919833540916443
Q4858807,united state,united state,0.9919833540916443
Q22639427,"september 23, 2018",2018-09-23,0.8344771265983582
Q5525310,"august 22, 1994",1994-08-22,0.8590707182884216
Q8037755,"film producer, actor, voice actor, television actor",film producer,0.48136383295059204
Q2377047,"january 20, 1886",1886-01-20,0.782576858997345
Q2242673,lo angele county,lo angele county,1.018717885017395
Q16730710,brain cancer,brain cancer,0.8396123051643372
Q4555364,united kingdom,united kingdom,0.9348112344741821
Q4495402,radio personality,radio personality,0.9485573172569275
Q20974040,television actor,actor,0.2646454870700836
Q52106938,"november 26, 1974",1974-11-26,0.7705857157707214
Q60578134,actor,actor,0.5767977237701416
Q527558,united state marine corps,united state marine corps,0.9848183989524841
Q1281772,"august 4, 1904",1904-08-04,0.7883307933807373
Q7540611,toronto,toronto,0.9552290439605713
Q4754991,television actor,television actor,0.8891075253486633
Q24091145,united state,united state,0.9919833540916443
Q218698,oxfordshire,oxfordshire,0.9581567645072937
Q946980,judaism,judaism,0.8800267577171326
Q6288832,television actor,television actor,0.8891075253486633
